symbol,name
600136.sh,道博股份
600137.sh,浪莎股份
600138.sh,中青旅
600139.sh,西部资源
600141.sh,兴发集团
600143.sh,金发科技
600145.sh,*ST国创
600146.sh,大元股份
600148.sh,长春一东
600149.sh,廊坊发展
600150.sh,中国船舶
600151.sh,航天机电
600152.sh,维科精华
600153.sh,建发股份
600155.sh,宝硕股份
600156.sh,华升股份
600157.sh,永泰能源
600158.sh,中体产业
600159.sh,大龙地产
600160.sh,巨化股份
600161.sh,天坛生物
600162.sh,香江控股
600163.sh,*ST南纸
600165.sh,新日恒力
600166.sh,福田汽车
600167.sh,联美控股
600168.sh,武汉控股
600169.sh,太原重工
600170.sh,上海建工
600171.sh,上海贝岭
600172.sh,黄河旋风
600173.sh,卧龙地产
600175.sh,美都能源
600176.sh,中国巨石
600177.sh,雅戈尔
600178.sh,东安动力
600179.sh,黑化股份
600180.sh,瑞茂通
600181.sh,S*ST云大
600182.sh,S佳通
600183.sh,生益科技
600184.sh,光电股份
600185.sh,格力地产
600186.sh,莲花味精
600187.sh,国中水务
600188.sh,兖州煤业
600189.sh,吉林森工
600190.sh,锦州港
600191.sh,华资实业
600192.sh,长城电工
600193.sh,创兴资源
600195.sh,中牧股份
600196.sh,复星医药
600197.sh,伊力特
600198.sh,大唐电信
600199.sh,金种子酒
600200.sh,江苏吴中
600201.sh,金宇集团
600202.sh,哈空调
600203.sh,福日电子
600205.sh,S山东铝
600206.sh,有研新材
600207.sh,安彩高科
600208.sh,新湖中宝
600209.sh,罗顿发展
600210.sh,紫江企业
600211.sh,西藏药业
600212.sh,江泉实业
600213.sh,亚星客车
600215.sh,长春经开
600216.sh,浙江医药
600217.sh,*ST秦岭
600218.sh,全柴动力
600219.sh,南山铝业
600220.sh,江苏阳光
600221.sh,海南航空
600222.sh,太龙药业
600223.sh,鲁商置业
600225.sh,天津松江
600226.sh,升华拜克
600227.sh,赤天化
600228.sh,昌九生化
600229.sh,青岛碱业
600230.sh,沧州大化
600231.sh,凌钢股份
600232.sh,金鹰股份
600233.sh,大杨创世
600234.sh,山水文化
600235.sh,民丰特纸
600236.sh,桂冠电力
600237.sh,铜峰电子
600238.sh,海南椰岛
600239.sh,云南城投
600240.sh,华业地产
600241.sh,时代万恒
600242.sh,*ST中昌
600243.sh,青海华鼎
600246.sh,万通地产
600247.sh,*ST成城
600248.sh,延长化建
600249.sh,两面针
600250.sh,南纺股份
600251.sh,冠农股份
600252.sh,中恒集团
600253.sh,天方药业
600255.sh,鑫科材料
600256.sh,广汇能源
600257.sh,大湖股份
600258.sh,首旅酒店
600259.sh,广晟有色
600260.sh,凯乐科技
600261.sh,阳光照明
600262.sh,北方股份
600263.sh,路桥建设
600265.sh,ST景谷
600266.sh,北京城建
600267.sh,海正药业
600268.sh,国电南自
600269.sh,赣粤高速
600270.sh,外运发展
600271.sh,航天信息
600272.sh,开开实业
600273.sh,嘉化能源
600275.sh,武昌鱼
600276.sh,DR恒瑞医
600277.sh,亿利能源
600278.sh,东方创业
600279.sh,重庆港九
600280.sh,中央商场
600281.sh,太化股份
600282.sh,南钢股份
600283.sh,钱江水利
600284.sh,浦东建设
600285.sh,羚锐制药
600286.sh,S*ST国瓷
600287.sh,江苏舜天
600288.sh,大恒科技
600289.sh,亿阳信通
600290.sh,华仪电气
600291.sh,西水股份
600292.sh,中电远达
600293.sh,三峡新材
600295.sh,鄂尔多斯
600296.sh,S兰铝
600297.sh,美罗药业
600298.sh,安琪酵母
600299.sh,蓝星新材
600300.sh,维维股份
600301.sh,*ST南化
600302.sh,标准股份
600303.sh,曙光股份
600305.sh,恒顺醋业
600306.sh,商业城
600307.sh,酒钢宏兴
600308.sh,华泰股份
600309.sh,万华化学
600310.sh,桂东电力
600311.sh,荣华实业
600312.sh,平高电气
600313.sh,农发种业
600315.sh,上海家化
600316.sh,洪都航空
600317.sh,营口港
600318.sh,巢东股份
600319.sh,亚星化学
600320.sh,振华重工
600321.sh,国栋建设
600322.sh,天房发展
600323.sh,瀚蓝环境
600325.sh,华发股份
600326.sh,西藏天路
600327.sh,大东方
600328.sh,兰太实业
600329.sh,中新药业
600330.sh,天通股份
600331.sh,宏达股份
600332.sh,白云山
600333.sh,长春燃气
600335.sh,国机汽车
600336.sh,澳柯玛
600337.sh,美克家居
600338.sh,西藏珠峰
600339.sh,天利高新
600340.sh,华夏幸福
600343.sh,航天动力
600345.sh,长江通信
600346.sh,大橡塑
600348.sh,阳泉煤业
600349.sh,富通昭和
600350.sh,山东高速
600351.sh,亚宝药业
600352.sh,浙江龙盛
600353.sh,旭光股份
600354.sh,敦煌种业
600355.sh,精伦电子
600356.sh,恒丰纸业
600357.sh,承德钒钛
600358.sh,国旅联合
600359.sh,新农开发
600360.sh,华微电子
600361.sh,华联综超
600362.sh,江西铜业
600363.sh,联创光电
600365.sh,通葡股份
600366.sh,宁波韵升
600367.sh,红星发展
600368.sh,五洲交通
600369.sh,西南证券
600370.sh,三房巷
600371.sh,万向德农
600372.sh,中航电子
600373.sh,中文传媒
600375.sh,华菱星马
600376.sh,首开股份
600377.sh,宁沪高速
600378.sh,天科股份
600379.sh,宝光股份
600380.sh,健康元
600381.sh,青海春天
600382.sh,广东明珠
600383.sh,金地集团
600385.sh,山东金泰
600386.sh,北巴传媒
600387.sh,海越股份
600388.sh,龙净环保
600389.sh,江山股份
600390.sh,金瑞科技
600391.sh,成发科技
600392.sh,盛和资源
600393.sh,东华实业
600395.sh,盘江股份
600396.sh,金山股份
600397.sh,安源煤业
600398.sh,海澜之家
600399.sh,抚顺特钢
600400.sh,红豆股份
600401.sh,*ST海润
600403.sh,大有能源
600405.sh,动力源
600406.sh,国电南瑞
600408.sh,*ST安泰
600409.sh,三友化工
600410.sh,华胜天成
600415.sh,小商品城
600416.sh,湘电股份
600418.sh,江淮汽车
600419.sh,天润乳业
600420.sh,现代制药
600421.sh,仰帆控股
600422.sh,昆药集团
600423.sh,柳化股份
600425.sh,青松建化
600426.sh,华鲁恒升
600428.sh,中远航运
600429.sh,三元股份
600432.sh,吉恩镍业
600433.sh,冠豪高新
600435.sh,北方导航
600436.sh,片仔癀
600438.sh,通威股份
600439.sh,瑞贝卡
600444.sh,*ST国通
600446.sh,金证股份
600448.sh,华纺股份
600449.sh,宁夏建材
